,ResponseId,frame,scenario_mapped,option_selected,rating,rating_num,rationale,age,age_grouped,gender,gender_grouped,ethnicity,ethnicity_grouped,education,continent_grouped,ADP_familiar,student,scenario_clean,option_selected_B,option_selected_A,frame_gain,frame_loss,scenario_clean_cat,reversed_rating_num,scenario_clean2,scenario_clean3,scenario_for,scenario_an,scenario_hum,ADP_No,ADP_Yes
0,R_NVdvtmfjOpqbjt7,Gain,animals_gain,Proposal A,2: Preference for Proposal A,2,fgfd,35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,Other / Not Provided,,No,animals,0,1,1,0,0,6,animals,animals,1,0,2,,
1,R_1PdD5x1QaR96ry5,Loss,animals_loss,Proposal A,2: Preference for Proposal A,2,I'm not good with maths and I don't like gambling. 1/3 guaranteed alive animals is better than the 2/3 gamble that all of them die.,45 - 54 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,,No,animals,0,1,0,1,0,6,animals,animals,1,0,2,,
2,R_2pQPkuWqwDFa4ht,Gain,forest_gain,Proposal B,5: Slight Preference for Proposal B,5,"Conserving 300 trees in the future will be more difficult. Next time, the compromise is going to be 100 trees. Then 30. ",35 - 44 years old,35+,Prefer to self-describe,Other / Prefer not to say,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,,No,forest,1,0,1,0,1,3,forest,forest,0,2,1,,
3,R_3m4yc0cNJWvh3ay,Loss,humans_loss,Proposal B,6: Preference for Proposal B,6,I love me a good gamble. Best feeling in the world if you win. :),18 - 24 years old,18 - 24 years old,Male,Male,Asian,Asian,Completed high school / secondary school,Asia,No,Yes,humans,1,0,0,1,2,2,humans,humans,2,1,0,No,No
4,R_3jTgIu177nGiYJ2,Gain,humans_gain,Proposal A,2: Preference for Proposal A,2,Proposal A is guaranteed lives saved and B has a high chance of zero survival so I’m going for guaranteed lives ,35 - 44 years old,35+,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,No,humans,0,1,1,0,2,6,humans,humans,2,1,0,No,No
6,R_3rqj1mPKRYbABzz,Loss,animals_loss,Proposal A,4: No Preference for Proposal A or B,4,,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Completed high school / secondary school,North America,Yes,No,animals,0,1,0,1,0,4,animals,animals,1,0,2,Yes,Yes
7,R_x9sjTCDfAzRGF7b,Loss,forest_loss,Proposal A,3: Slight Preference for Propsal A,3,ugj,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,Yes,No,forest,0,1,0,1,1,5,forest,forest,0,2,1,Yes,Yes
8,R_2aslBOe9982yOUw,Gain,animals_gain,Proposal B,4: No Preference for Proposal A or B,4,,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,North America,Yes,No,animals,1,0,1,0,0,4,animals,animals,1,0,2,Yes,Yes
9,R_3fPK05wtfzgynpL,Gain,forest_gain,Proposal A,1: Strong Preference for Proposal A,1,Plan A is safer,35 - 44 years old,35+,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,forest,0,1,1,0,1,7,forest,forest,0,2,1,No,No
10,R_1inAAY1EjXY5uip,Loss,humans_loss,Proposal B,6: Preference for Proposal B,6,adasdad,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Associates or technical degree,Other / Not Provided,Yes,No,humans,1,0,0,1,2,2,humans,humans,2,1,0,Yes,Yes
11,R_1rpFtYKkYSYlGuB,Gain,forest_gain,Proposal A,2: Preference for Proposal A,2,The probability that choice A is stable and choice B is 1/3 is not very high   ,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,forest,0,1,1,0,1,6,forest,forest,0,2,1,Yes,Yes
13,R_vYmkyLhPdtgZbBD,Loss,animals_loss,Proposal A,2: Preference for Proposal A,2,No room for error,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Associates or technical degree,North America,Yes,No,animals,0,1,0,1,0,6,animals,animals,1,0,2,Yes,Yes
14,R_1ocIFtWgQEFTLfH,Gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,"I don't like the idea of putting all 900 people's lives on the lives, I'd rather have 300 guaranteed lives safe.",18 - 24 years old,18 - 24 years old,Male,Male,White or Caucasian,White or Caucasian,Completed high school / secondary school,Other / Not Provided,No,Yes,humans,0,1,1,0,2,5,humans,humans,2,1,0,No,No
16,R_2zMWHKgL9aZY5R7,Gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,Media coverage will probably be worse and the option as a whole would be less justifiable if it goes wrong,18 - 24 years old,18 - 24 years old,Non-binary / third gender,Other / Prefer not to say,White or Caucasian,White or Caucasian,Associates or technical degree,Europe,No,Yes,animals,0,1,1,0,0,5,animals,animals,1,0,2,No,No
17,R_1FbkLFluHgZjH4E,Gain,forest_gain,Proposal A,2: Preference for Proposal A,2,Plan a is safer,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,forest,0,1,1,0,1,6,forest,forest,0,2,1,No,No
19,R_2ttKqqTYt4nAUSi,Gain,humans_gain,Proposal B,5: Slight Preference for Proposal B,5,,25 - 34 years old,25 - 34 years old,Female,Female,Black/African/Caribbean,Black/African/Caribbean,Bachelor's degree,Europe,No,No,humans,1,0,1,0,2,3,humans,humans,2,1,0,No,No
20,R_3EbYbhaXKeC1ONH,Loss,humans_loss,Proposal B,6: Preference for Proposal B,6,"Life is bigger than days, there is a 1/3 chance to save everyone, and as government officials should mobilize all available resources to save more lives   ",25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,humans,1,0,0,1,2,2,humans,humans,2,1,0,Yes,Yes
21,R_2uvO2kYP46HWVvF,Loss,forest_loss,Proposal A,4: No Preference for Proposal A or B,4,Both of them are really bad choices so I cannot have a preference ,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,Yes,forest,0,1,0,1,1,4,forest,forest,0,2,1,No,No
22,R_WCpp7rA55qchy9j,Gain,forest_gain,Proposal A,4: No Preference for Proposal A or B,4,"If you choose A, you can guarantee the survival of 300 trees, and the probability of B being protected is less than the probability of being protected.",25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,Yes,Yes,forest,0,1,1,0,1,4,forest,forest,0,2,1,Yes,Yes
23,R_1gvGQNXJXRGA8Rp,Gain,humans_gain,Proposal B,4: No Preference for Proposal A or B,4,Choice B is like gambling. You have to lose,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,Yes,Yes,humans,1,0,1,0,2,4,humans,humans,2,1,0,Yes,Yes
24,R_27jlcHjQmVhKcu5,Loss,humans_loss,Proposal B,6: Preference for Proposal B,6,Maybe fewer people will die this way,35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,No,humans,1,0,0,1,2,2,humans,humans,2,1,0,No,No
25,R_1doUBi5lYk0FilO,Loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,A 1/3 chance,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,animals,1,0,0,1,0,3,animals,animals,1,0,2,No,No
27,R_3PiNmOxUIzuHLsE,Gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,,35 - 44 years old,35+,Female,Female,White or Caucasian,White or Caucasian,Completed high school / secondary school,North America,Yes,No,animals,0,1,1,0,0,5,animals,animals,1,0,2,Yes,Yes
28,R_2SrGnQuDHgbX09H,Loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5," If you bet right, you can avoid ocean death.",25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,animals,1,0,0,1,0,3,animals,animals,1,0,2,Yes,Yes
30,R_3iKHfbIOdJpvzqU,Gain,humans_gain,Proposal A,1: Strong Preference for Proposal A,1,Just because I can't gamble with 900 people's lives,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,Europe,No,No,humans,0,1,1,0,2,7,humans,humans,2,1,0,No,No
31,R_2qrBYQ9zWp28yCu,Loss,forest_loss,Proposal A,2: Preference for Proposal A,2,空气污染严重,45 - 54 years old,35+,Male,Male,Asian,Asian,Bachelor's degree,Asia,Yes,No,forest,0,1,0,1,1,6,forest,forest,0,2,1,Yes,Yes
32,R_viW4qwRjlTUyksp,Gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,污染严重,35 - 44 years old,35+,Female,Female,Asian,Asian,Bachelor's degree,Asia,Yes,No,humans,0,1,1,0,2,5,humans,humans,2,1,0,Yes,Yes
33,R_XMoLodj1bLLsM5r,Loss,humans_loss,Proposal B,5: Slight Preference for Proposal B,5,Preference refers to a concept in utility theory. It refers to the attitude of decision makers towards returns and risks. The degree to which the decision-maker has a strong preference for an option or outcome   ,25 - 34 years old,25 - 34 years old,Female,Female,Black/African/Caribbean,Black/African/Caribbean,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Asia,Yes,Yes,humans,1,0,0,1,2,3,humans,humans,2,1,0,Yes,Yes
34,R_1FxodwWOgksSmfg,Loss,animals_loss,Proposal A,4: No Preference for Proposal A or B,4,Preference refers to a concept in utility theory. It refers to the attitude of decision makers towards returns and risks. The degree to which the decision-maker has a strong preference for an option or outcome   ,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Asia,Yes,No,animals,0,1,0,1,0,4,animals,animals,1,0,2,Yes,Yes
35,R_pGhoEKhiwHyLeZX,Loss,forest_loss,Proposal B,4: No Preference for Proposal A or B,4,Preference refers to a concept in utility theory. It refers to the attitude of decision makers towards returns and risks. The degree to which the decision-maker has a strong preference for an option or outcome   ,35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Asia,Yes,Yes,forest,1,0,0,1,1,4,forest,forest,0,2,1,Yes,Yes
37,R_3fN6ejrc5Mzyx4p,Gain,forest_gain,Proposal A,3: Slight Preference for Propsal A,3,"I felt that ideally the less trees are left the more important it is to protect them, so while the best possible outcome is for all trees to survive, 300 is more than one third as good.",18 - 24 years old,18 - 24 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,Yes,forest,0,1,1,0,1,5,forest,forest,0,2,1,No,No
38,R_d4t4KzFDl27o8St,Loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,find oneself,55 - 64 years old,35+,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,animals,1,0,0,1,0,3,animals,animals,1,0,2,Yes,Yes
40,R_2XmMgYHu6oTOR97,Loss,humans_loss,Proposal A,3: Slight Preference for Propsal A,3,"While both policies, on average, result in the same number of deaths, a straight reduction of deaths makes more sense for a one-time implementation of policy.",35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,Yes,humans,0,1,0,1,2,5,humans,humans,2,1,0,Yes,Yes
41,R_2saOAfLuUzwLhW1,Gain,animals_gain,Proposal A,2: Preference for Proposal A,2,I would rather save 300 than possibly kill even more,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,animals,0,1,1,0,0,6,animals,animals,1,0,2,No,No
42,R_11bU0B0YHaj3uHN,Loss,animals_loss,Proposal A,3: Slight Preference for Propsal A,3,The risk of Plan A is lower,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,Yes,animals,0,1,0,1,0,5,animals,animals,1,0,2,Yes,Yes
43,R_1mmgInLRnn7YTMC,Gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,There are animals that will survive much better than Plan two,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,Europe,Yes,Yes,animals,0,1,1,0,0,5,animals,animals,1,0,2,Yes,Yes
44,R_1gO3GfjzD48jXJw,Loss,humans_loss,Proposal A,3: Slight Preference for Propsal A,3,,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Completed high school / secondary school,North America,Yes,No,humans,0,1,0,1,2,5,humans,humans,2,1,0,Yes,Yes
45,R_2Slx3aGJLY67HV7,Gain,animals_gain,Proposal A,1: Strong Preference for Proposal A,1,Protect animal life,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Asia,Yes,Yes,animals,0,1,1,0,0,7,animals,animals,1,0,2,Yes,Yes
46,R_2axBKeXirx08fEl,Gain,humans_gain,Proposal A,4: No Preference for Proposal A or B,4,e the rationale for your preference rating,18 - 24 years old,18 - 24 years old,Female,Female,Black/African/Caribbean,Black/African/Caribbean,Associates or technical degree,Other / Not Provided,Yes,Yes,humans,0,1,1,0,2,4,humans,humans,2,1,0,Yes,Yes
47,R_2V2Q3fNGxLv0XzT,Loss,forest_loss,Proposal A,2: Preference for Proposal A,2,Proposition A Insurance,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,North America,Yes,No,forest,0,1,0,1,1,6,forest,forest,0,2,1,Yes,Yes
48,R_C3IlEpyazR71BCN,Loss,humans_loss,Proposal A,2: Preference for Proposal A,2,Proposition A Insurance,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,North America,Yes,No,humans,0,1,0,1,2,6,humans,humans,2,1,0,Yes,Yes
49,R_21hLoybmI8jdgil,Gain,forest_gain,Proposal A,4: No Preference for Proposal A or B,4,a insurance,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,forest,0,1,1,0,1,4,forest,forest,0,2,1,Yes,Yes
50,R_3qOFWUr60m9KJmX,Gain,animals_gain,Proposal A,4: No Preference for Proposal A or B,4,a insurance,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,animals,0,1,1,0,0,4,animals,animals,1,0,2,Yes,Yes
51,R_UKfTzLjBP6Eef73,Loss,forest_loss,Proposal B,7: Strong Preference for Proposal B,7,Better believe it than believe it.,35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,forest,1,0,0,1,1,1,forest,forest,0,2,1,Yes,Yes
52,R_3McBb5a7BEZH7r7,Loss,animals_loss,Proposal B,7: Strong Preference for Proposal B,7,https://lse.eu.qualtrics.com/jfe/form/SV_brLsIIwq9gdB6SO,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,Yes,Yes,animals,1,0,0,1,0,1,animals,animals,1,0,2,Yes,Yes
53,R_1jHPMr958iwrKWk,Gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,,35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,No,No,humans,0,1,1,0,2,5,humans,humans,2,1,0,No,No
56,R_vuboPvGR1aCQ2Gd,Gain,forest_gain,Proposal A,3: Slight Preference for Propsal A,3,no,45 - 54 years old,35+,Non-binary / third gender,Other / Prefer not to say,Black/African/Caribbean,Black/African/Caribbean,Bachelor's degree,Europe,No,Yes,forest,0,1,1,0,1,5,forest,forest,0,2,1,No,No
58,R_2wzyn2j2fHiS98W,Loss,forest_loss,Proposal A,1: Strong Preference for Proposal A,1,good,35 - 44 years old,35+,Female,Female,Black/African/Caribbean,Black/African/Caribbean,Completed high school / secondary school,Europe,No,Yes,forest,0,1,0,1,1,7,forest,forest,0,2,1,No,No
59,R_1jvT1o3ejFswDZa,Gain,animals_gain,Proposal B,7: Strong Preference for Proposal B,7,,18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,Yes,animals,1,0,1,0,0,1,animals,animals,1,0,2,Yes,Yes
60,R_2wLdljd7J0G61zK,Loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,"Plan A is death, Plan B is possible survival, since it is possible, why not try Plan B",25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,No,animals,1,0,0,1,0,3,animals,animals,1,0,2,No,No
61,R_3siteL17f7B7sUH,Loss,humans_loss,Proposal A,2: Preference for Proposal A,2,It fits my idea,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Asia,Yes,Yes,humans,0,1,0,1,2,6,humans,humans,2,1,0,Yes,Yes
63,R_3F27J66mes4aCfT,Gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,"Wouldn't want to be responsible for the loss of all life, doing your best to save what is possible seems to be the best option.",25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,animals,0,1,1,0,0,5,animals,animals,1,0,2,No,No
69,R_VL0gv7ben4GCA9j,Gain,forest_gain,Proposal A,2: Preference for Proposal A,2,"Neither sound great, but at least A is guaranteed to protect some.",25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Completed high school / secondary school,Other / Not Provided,No,No,forest,0,1,1,0,1,6,forest,forest,0,2,1,No,No
78,R_6fjgKifM8fq64bT,Loss,animals_loss,Proposal A,1: Strong Preference for Proposal A,1,I wouldnt want to risk loosing all of the animals. Saving at least 300 is good enough for me,18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,Completed high school / secondary school,Europe,No,Yes,animals,0,1,0,1,0,7,animals,animals,1,0,2,No,No
80,R_Aole93GlI4WDiMN,Loss,forest_loss,Proposal A,2: Preference for Proposal A,2,"Satisfied at the moment, I also really want not a single tree to be cut down, but no matter what I try, if I don’t succeed, then 900 trees will be cut down, so I prefer plan A",25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Completed high school / secondary school,North America,No,No,forest,0,1,0,1,1,6,forest,forest,0,2,1,No,No
81,R_w5z8C4OvI3FbZ4Z,Gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,More solid chance of survival ,18 - 24 years old,18 - 24 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,Yes,humans,0,1,1,0,2,5,humans,humans,2,1,0,No,No
82,R_2t5Npl2gFjvcawG,Gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,"2/3 is a lot of chance to have none saved, so sure chance to have 300 saved looks more ethical",25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,animals,0,1,1,0,0,5,animals,animals,1,0,2,No,No
83,R_2tzhcIWTzSKmP6m,Loss,humans_loss,Proposal B,7: Strong Preference for Proposal B,7,Y,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,Yes,humans,1,0,0,1,2,1,humans,humans,2,1,0,No,No
84,R_3qkFYtd7bQ5xM1o,Loss,forest_loss,Proposal A,2: Preference for Proposal A,2,,18 - 24 years old,18 - 24 years old,Male,Male,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Asia,No,Yes,forest,0,1,0,1,1,6,forest,forest,0,2,1,No,No
85,R_1Q57S8lDbWeNJKE,Gain,forest_gain,Proposal A,2: Preference for Proposal A,2,na,35 - 44 years old,35+,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,forest,0,1,1,0,1,6,forest,forest,0,2,1,No,No
86,R_1CstPlB3Z1vMG63,Gain,forest_gain,Proposal A,2: Preference for Proposal A,2,A sounds better.,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,Bachelor's degree,Asia,No,Yes,forest,0,1,1,0,1,6,forest,forest,0,2,1,No,No
87,R_d7mPnKpc7wwIT9n,Loss,animals_loss,Proposal A,3: Slight Preference for Propsal A,3,preference for proposal,35 - 44 years old,35+,Male,Male,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Asia,No,Yes,animals,0,1,0,1,0,5,animals,animals,1,0,2,No,No
88,R_2XhXLOpVuIAfcBb,Loss,forest_loss,Proposal A,3: Slight Preference for Propsal A,3,Plan A can ensure at least 300 trees to live.,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,forest,0,1,0,1,1,5,forest,forest,0,2,1,No,No
89,R_1fjERxd2JrHUBDf,Loss,animals_loss,Proposal B,6: Preference for Proposal B,6,risk seeking for loss,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,animals,1,0,0,1,0,2,animals,animals,1,0,2,No,No
90,R_1eJZ6jpInzjSCo0,Gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,A can ensure at least 300 people to alive,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Asia,No,Yes,humans,0,1,1,0,2,5,humans,humans,2,1,0,No,No
93,R_2aQs2YHHJGGOyiu,Loss,humans_loss,Proposal B,6: Preference for Proposal B,6,概率的生还，是值得去拼搏的,25 - 34 years old,25 - 34 years old,Male,Male,Asian,Asian,Bachelor's degree,Asia,Yes,No,humans,1,0,0,1,2,2,humans,humans,2,1,0,Yes,Yes
94,R_PA5hvxWWipvv9x7,Loss,humans_loss,Proposal A,1: Strong Preference for Proposal A,1,"I can't make the decision of death for others, but I should be stable to let more people live",25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Associates or technical degree,North America,Yes,No,humans,0,1,0,1,2,7,humans,humans,2,1,0,Yes,Yes
