,ResponseId,frame,scenario_mapped,option_selected,rating,rating_num,rationale,age,age_grouped,gender,gender_grouped,ethnicity,ethnicity_grouped,education,continent_grouped,ADP_familiar,student,scenario_clean,option_selected_B,option_selected_A,frame_gain,frame_loss,scenario_clean_cat,reversed_rating_num,scenario_clean2,scenario_clean3,scenario_for,scenario_an,scenario_hum,ADP_No,ADP_Yes
95,R_1GyjIFynyizrR5l,Loss,animals_loss,Proposal A,3: Slight Preference for Propsal A,3,"Minimizing the mortality of Marine organisms is A good plan to maintain the ecology. If B is chosen, there will be a greater probability of causing the death of more Marine organisms, which is obvious, so I choose A",35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,North America,No,No,animals,0,1,0,1,0,5,animals,animals,1,0,2,No,No
96,R_3jeWLyRoasEV4Lm,Gain,animals_gain,Proposal B,6: Preference for Proposal B,6,Proposal B more animals will be safe,18 - 24 years old,18 - 24 years old,Male,Male,Black/African/Caribbean,Black/African/Caribbean,Bachelor's degree,North America,No,Yes,animals,1,0,1,0,0,2,animals,animals,1,0,2,No,No
97,R_2hS1UF0dRoJuyT7,Loss,animals_loss,Proposal A,2: Preference for Proposal A,2,Many animals will be saved than B,25 - 34 years old,25 - 34 years old,Male,Male,Prefer not to say,Not Provided/Other,Associates or technical degree,Europe,No,No,animals,0,1,0,1,0,6,animals,animals,1,0,2,No,No
98,R_eS5rjABSzu2MSRP,Loss,forest_loss,Proposal B,5: Slight Preference for Proposal B,5,Slight outcome of less treees being logged,18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,forest,1,0,0,1,1,3,forest,forest,0,2,1,No,No
99,R_1jThMvGOaPsmKh8,Gain,forest_gain,Proposal A,1: Strong Preference for Proposal A,1,Being utterly sure thay the trees will be preserved,25 - 34 years old,25 - 34 years old,Female,Female,Black/African/Caribbean,Black/African/Caribbean,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,forest,0,1,1,0,1,7,forest,forest,0,2,1,No,No
100,R_1FfDJHDMW1HyDAJ,Loss,humans_loss,Proposal B,5: Slight Preference for Proposal B,5,at least people still have a chance to survive,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Asia,No,Yes,humans,1,0,0,1,2,3,humans,humans,2,1,0,No,No
101,R_0xlEfSFhuktq8k9,Gain,animals_gain,Proposal A,2: Preference for Proposal A,2,Better to save 300 than none at all,35 - 44 years old,35+,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Other / Not Provided,No,Yes,animals,0,1,1,0,0,6,animals,animals,1,0,2,No,No
102,R_3MPBC0Rjv0fEcSk,Gain,humans_gain,Proposal A,2: Preference for Proposal A,2,Plan A guarantees a third of the survivors,35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,Yes,No,humans,0,1,1,0,2,6,humans,humans,2,1,0,Yes,Yes
104,R_10T9Z2fjOg0IFMO,Loss,forest_loss,Proposal A,1: Strong Preference for Proposal A,1,Because we still have to leave some trees for them to grow.,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,Associates or technical degree,North America,Yes,No,forest,0,1,0,1,1,7,forest,forest,0,2,1,Yes,Yes
106,R_3PYzBiq8hsa4ZGx,Loss,animals_loss,Proposal B,6: Preference for Proposal B,6,none,35 - 44 years old,35+,Male,Male,Black/African/Caribbean,Black/African/Caribbean,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,Yes,Yes,animals,1,0,0,1,0,2,animals,animals,1,0,2,Yes,Yes
107,R_1zucqQ9Tg9JbBW9,Loss,humans_loss,Proposal A,3: Slight Preference for Propsal A,3,The risks of Plan B are large and unbearable,35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,humans,0,1,0,1,2,5,humans,humans,2,1,0,Yes,Yes
108,R_12GuOUXGXkRDMQI,Gain,animals_gain,Proposal A,2: Preference for Proposal A,2,,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,animals,0,1,1,0,0,6,animals,animals,1,0,2,Yes,Yes
111,R_2SqRr4Ik7Xt180F,Gain,humans_gain,Proposal A,2: Preference for Proposal A,2,"Because there is only a 1% chance of choosing b, although only 300 people in A can still plant trees",18 - 24 years old,18 - 24 years old,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,North America,Yes,No,humans,0,1,1,0,2,6,humans,humans,2,1,0,Yes,Yes
112,R_2EB4Tgvzsa5wMDH,Gain,forest_gain,Proposal A,1: Strong Preference for Proposal A,1,absence,25 - 34 years old,25 - 34 years old,Female,Female,Black/African/Caribbean,Black/African/Caribbean,Completed high school / secondary school,North America,No,No,forest,0,1,1,0,1,7,forest,forest,0,2,1,No,No
113,R_OwiKJtRbkM2WaY1,Gain,forest_gain,Proposal B,6: Preference for Proposal B,6,my use feel,35 - 44 years old,35+,Female,Female,White or Caucasian,White or Caucasian,Associates or technical degree,North America,Yes,No,forest,1,0,1,0,1,2,forest,forest,0,2,1,Yes,Yes
114,R_1gnCwFEmIOM8IJx,Gain,humans_gain,Proposal A,4: No Preference for Proposal A or B,4,It feels the same.,18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,Completed high school / secondary school,North America,No,No,humans,0,1,1,0,2,4,humans,humans,2,1,0,No,No
116,R_1pEcaHA7tW3qK4Q,Gain,animals_gain,Proposal B,6: Preference for Proposal B,6,Hopefully more animals will survive,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,Yes,No,animals,1,0,1,0,0,2,animals,animals,1,0,2,Yes,Yes
117,R_WfhjAfmyx5KpXMZ,Loss,forest_loss,Proposal A,2: Preference for Proposal A,2,,35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,North America,Yes,No,forest,0,1,0,1,1,6,forest,forest,0,2,1,Yes,Yes
121,R_3dYBRsnR4sMWKqA,Gain,humans_gain,Proposal A,1: Strong Preference for Proposal A,1,Survival rate is higher than B,18 - 24 years old,18 - 24 years old,Female,Female,Black/African/Caribbean,Black/African/Caribbean,Completed high school / secondary school,Europe,Yes,Yes,humans,0,1,1,0,2,7,humans,humans,2,1,0,Yes,Yes
122,R_1CgueOjgTYGxOkq,Gain,forest_gain,Proposal A,3: Slight Preference for Propsal A,3,NO,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,Other / Not Provided,Yes,Yes,forest,0,1,1,0,1,5,forest,forest,0,2,1,Yes,Yes
123,R_2y2a7kh1IGUV8M3,Loss,animals_loss,Proposal A,2: Preference for Proposal A,2,Many will survive,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,Yes,No,animals,0,1,0,1,0,6,animals,animals,1,0,2,Yes,Yes
124,R_3kGQIbfu9gB5AUa,Gain,forest_gain,Proposal A,3: Slight Preference for Propsal A,3,At least 300 trees can be kept to avoid it.,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,forest,0,1,1,0,1,5,forest,forest,0,2,1,No,No
128,R_yqGQtJCNm7Kybi9,Loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,emm,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,animals,1,0,0,1,0,3,animals,animals,1,0,2,Yes,Yes
129,R_2QuDRxDflkfBBeT,Gain,forest_gain,Proposal A,2: Preference for Proposal A,2,Option A ensures that at least 300 trees are protected. This scheme provides a definitive solution that ensures the preservation of a portion of the trees,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,North America,No,No,forest,0,1,1,0,1,6,forest,forest,0,2,1,No,No
130,R_1mW6PdwEs8r1TXv,Gain,animals_gain,Proposal B,6: Preference for Proposal B,6,Oil spill is related to the industrial chain.,18 - 24 years old,18 - 24 years old,Prefer not to say,Other / Prefer not to say,White or Caucasian,White or Caucasian,Completed high school / secondary school,North America,No,Yes,animals,1,0,1,0,0,2,animals,animals,1,0,2,No,No
131,R_2y4asQP1DyBe3XH,Loss,humans_loss,Proposal A,2: Preference for Proposal A,2,,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,Completed high school / secondary school,North America,No,No,humans,0,1,0,1,2,6,humans,humans,2,1,0,No,No
132,R_2VqACMPK4Bnb4KE,Loss,humans_loss,Proposal A,2: Preference for Proposal A,2,,25 - 34 years old,25 - 34 years old,Female,Female,Black/African/Caribbean,Black/African/Caribbean,Completed high school / secondary school,North America,No,No,humans,0,1,0,1,2,6,humans,humans,2,1,0,No,No
133,R_2xIY3JPtjjpm9Ra,Gain,animals_gain,Proposal A,2: Preference for Proposal A,2,,25 - 34 years old,25 - 34 years old,Female,Female,Black/African/Caribbean,Black/African/Caribbean,Completed high school / secondary school,North America,No,No,animals,0,1,1,0,0,6,animals,animals,1,0,2,No,No
134,R_CZBz9kbilBkv6uZ,Loss,animals_loss,Proposal B,7: Strong Preference for Proposal B,7,For sure save the marine animals,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Asia,Yes,Yes,animals,1,0,0,1,0,1,animals,animals,1,0,2,Yes,Yes
135,R_6XMOLr0Pn3rvyut,Loss,forest_loss,Proposal A,1: Strong Preference for Proposal A,1,,55 - 64 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,Yes,forest,0,1,0,1,1,7,forest,forest,0,2,1,Yes,Yes
136,R_31Eqja5qDmGpSwG,Loss,forest_loss,Proposal A,2: Preference for Proposal A,2,Option B is more likely to have more trees cut down.,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,forest,0,1,0,1,1,6,forest,forest,0,2,1,No,No
138,R_1P1QGQoH6XtiELA,Loss,humans_loss,Proposal A,2: Preference for Proposal A,2,Scheme A has a high probability and the least danger.,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Completed high school / secondary school,North America,Yes,No,humans,0,1,0,1,2,6,humans,humans,2,1,0,Yes,Yes
139,R_1N52OX2C7i83OIG,Gain,animals_gain,Proposal A,4: No Preference for Proposal A or B,4,,25 - 34 years old,25 - 34 years old,Male,Male,Asian,Asian,Associates or technical degree,North America,Yes,No,animals,0,1,1,0,0,4,animals,animals,1,0,2,Yes,Yes
140,R_ZenOyJ5ZgEHMk25,Loss,animals_loss,Proposal A,2: Preference for Proposal A,2,,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,animals,0,1,0,1,0,6,animals,animals,1,0,2,Yes,Yes
141,R_2bZ497hcowQpXl8,Gain,humans_gain,Proposal B,6: Preference for Proposal B,6,Most hopeful,18 - 24 years old,18 - 24 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,humans,1,0,1,0,2,2,humans,humans,2,1,0,Yes,Yes
142,R_3Mfyf4ndn2XBnBY,Gain,humans_gain,Proposal B,6: Preference for Proposal B,6,Most hopeful,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,Yes,No,humans,1,0,1,0,2,2,humans,humans,2,1,0,Yes,Yes
143,R_3ixtW3JpdYVCFJC,Loss,forest_loss,Proposal B,5: Slight Preference for Proposal B,5,"I chose option B, because there is still some chance that none of the trees will be cleared. But it is a slight preference due to the risk of clearing even more trees than in option A.",25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,forest,1,0,0,1,1,3,forest,forest,0,2,1,No,No
144,R_1qVCaJSNGJxL5LZ,Loss,humans_loss,Proposal A,2: Preference for Proposal A,2,,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,Completed high school / secondary school,Other / Not Provided,Yes,No,humans,0,1,0,1,2,6,humans,humans,2,1,0,Yes,Yes
145,R_Xu0gnzx1k0HzdxT,Gain,forest_gain,Proposal A,3: Slight Preference for Propsal A,3,More chance of no trees with option B,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,Yes,No,forest,0,1,1,0,1,5,forest,forest,0,2,1,Yes,Yes
146,R_1FEsUL1IRe6ua3r,Loss,humans_loss,Proposal A,3: Slight Preference for Propsal A,3,At least there is a guarantee of saving 300 lives,35 - 44 years old,35+,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,humans,0,1,0,1,2,5,humans,humans,2,1,0,No,No
147,R_1i4Daf2Q3NnHOOM,Gain,forest_gain,Proposal A,1: Strong Preference for Proposal A,1,h,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,forest,0,1,1,0,1,7,forest,forest,0,2,1,No,No
149,R_8rg1iUsAZgVMQKZ,Loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,"Hard to say, but I would say that I prefer a choice with some probability. ",18 - 24 years old,18 - 24 years old,Female,Female,Asian,Asian,Bachelor's degree,Asia,Yes,Yes,animals,1,0,0,1,0,3,animals,animals,1,0,2,Yes,Yes
150,R_ONcUUlAo4wqVDFv,Gain,humans_gain,Proposal A,2: Preference for Proposal A,2,"While Option B offers a chance that all 900 people will survive, it also introduces a higher risk with a 2/3 probability that no one will survive. Given the gravity of the situation and the potential for 900 premature deaths over the next year due to respiratory illness, it is crucial to prioritize a more certain and guaranteed outcome.",25 - 34 years old,25 - 34 years old,Male,Male,Asian,Asian,Bachelor's degree,Asia,No,Yes,humans,0,1,1,0,2,6,humans,humans,2,1,0,No,No
151,R_2Ybxb3ZqEdp5tG1,Gain,forest_gain,Proposal A,1: Strong Preference for Proposal A,1,There is a high chance that there are no trees saved in option B but A there is a definite 300 trees,18 - 24 years old,18 - 24 years old,Male,Male,White or Caucasian,White or Caucasian,Completed high school / secondary school,Europe,No,Yes,forest,0,1,1,0,1,7,forest,forest,0,2,1,No,No
152,R_0vbMvzhcHCb137r,Loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,"If there's a chance that no one will be harmed, it is worth the try.",18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,Completed high school / secondary school,Other / Not Provided,No,No,animals,1,0,0,1,0,3,animals,animals,1,0,2,No,No
153,R_2BlJqW7fGK3y2yw,Gain,animals_gain,Proposal A,2: Preference for Proposal A,2,An ecosystem with 300 marine animals remaining can at least potentially recover. ,18 - 24 years old,18 - 24 years old,Male,Male,White or Caucasian,White or Caucasian,Completed high school / secondary school,Europe,No,Yes,animals,0,1,1,0,0,6,animals,animals,1,0,2,No,No
155,R_31pjljHKuVTdZLD,Loss,humans_loss,Proposal A,1: Strong Preference for Proposal A,1,NONE,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Associates or technical degree,North America,Yes,No,humans,0,1,0,1,2,7,humans,humans,2,1,0,Yes,Yes
156,R_Di4AWZb58dyJvmp,Gain,animals_gain,Proposal B,6: Preference for Proposal B,6,Rescue is a difficult and costly matter. I prefer to save more marine life when the opportunity and cost are roughly the same.,25 - 34 years old,25 - 34 years old,Male,Male,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,animals,1,0,1,0,0,2,animals,animals,1,0,2,No,No
157,R_1HkmXTcUuPd7nKo,Gain,humans_gain,Proposal A,1: Strong Preference for Proposal A,1,2/3rd probably of all 900 people dying is too high of a risk,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,humans,0,1,1,0,2,7,humans,humans,2,1,0,No,No
158,R_3MlCuJDLKlIaReL,Loss,animals_loss,Proposal A,4: No Preference for Proposal A or B,4,,25 - 34 years old,25 - 34 years old,Female,Female,Black/African/Caribbean,Black/African/Caribbean,Completed high school / secondary school,North America,Yes,No,animals,0,1,0,1,0,4,animals,animals,1,0,2,Yes,Yes
164,R_1JXvytTsruwFQVj,Loss,humans_loss,Proposal A,2: Preference for Proposal A,2,Consider the legitimacy of every citizen's life.,35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,humans,0,1,0,1,2,6,humans,humans,2,1,0,No,No
165,R_293WrJ58Ej1BHBm,Gain,animals_gain,Proposal A,2: Preference for Proposal A,2,"Protecting Marine animals is part of our harmonious coexistence with the natural world. This not only helps to maintain our ecological environment, but also provides a beautiful and enjoyable nature experience.",25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Completed high school / secondary school,Europe,Yes,Yes,animals,0,1,1,0,0,6,animals,animals,1,0,2,Yes,Yes
170,R_31ioxS8vHENRDes,Gain,humans_gain,Proposal B,5: Slight Preference for Proposal B,5,"Plan A could ensure the survival of 300 people, while Plan B could result in the survival of all 900 people or none. Given the criticality of alleviating respiratory diseases and saving lives, Option B has the potential to save all 900 people",25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,North America,Yes,No,humans,1,0,1,0,2,3,humans,humans,2,1,0,Yes,Yes
172,R_3Lj0MfzAwZyxaky,Loss,animals_loss,Proposal A,3: Slight Preference for Propsal A,3,,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Associates or technical degree,Other / Not Provided,Yes,No,animals,0,1,0,1,0,5,animals,animals,1,0,2,Yes,Yes
173,R_3MaI7epLV169ey3,Gain,animals_gain,Proposal A,2: Preference for Proposal A,2,,35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,animals,0,1,1,0,0,6,animals,animals,1,0,2,Yes,Yes
175,R_21gPG9YhEr8H4fc,Gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,keep someone alive,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,No,humans,0,1,1,0,2,5,humans,humans,2,1,0,No,No
176,R_1KrnZvQJkq3AJWD,Loss,humans_loss,Proposal B,5: Slight Preference for Proposal B,5,The probability of the animal surviving,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,humans,1,0,0,1,2,3,humans,humans,2,1,0,No,No
177,R_2w0QenzVhepJCqQ,Gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,I prefer the safe way,18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Other / Not Provided,No,No,animals,0,1,1,0,0,5,animals,animals,1,0,2,No,No
179,R_31T9JVZ8sBFlKRv,Gain,humans_gain,Proposal B,5: Slight Preference for Proposal B,5,"Considering that people's lives and health are at stake, they might expect the government to take more determined and aggressive action to tackle air pollution. Option B may be able to meet the expectations of the public, showing the Government's great importance to the problem and its determination to take decisive action.",25 - 34 years old,25 - 34 years old,Male,Male,Black/African/Caribbean,Black/African/Caribbean,Bachelor's degree,North America,No,No,humans,1,0,1,0,2,3,humans,humans,2,1,0,No,No
182,R_2rIoO5rPey94ekV,Gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,one-third less likely to survive,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,Yes,animals,0,1,1,0,0,5,animals,animals,1,0,2,No,No
183,R_C1FgBbIeSkQ6ehr,Loss,animals_loss,Proposal A,2: Preference for Proposal A,2,there are animals alive,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,No,animals,0,1,0,1,0,6,animals,animals,1,0,2,No,No
184,R_2dASq6LqffbXfdd,Loss,forest_loss,Proposal B,5: Slight Preference for Proposal B,5,"One is that the trees are old trees, and twois the environment",25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,Yes,forest,1,0,0,1,1,3,forest,forest,0,2,1,No,No
185,R_3kpMuMYfU3pl1ox,Loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,"600 dying is a lot, so if there is a chance to save all of them, that seems like the better option. However, it is only a slight preference because there is a high chance that all of them will die.",18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,Yes,animals,1,0,0,1,0,3,animals,animals,1,0,2,No,No
186,R_2WvuxGf0fsfVLa2,Gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,"Stable and conservative,",18 - 24 years old,18 - 24 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,humans,0,1,1,0,2,5,humans,humans,2,1,0,Yes,Yes
187,R_1OUzKcuJGQmAYcb,Loss,humans_loss,Proposal B,4: No Preference for Proposal A or B,4,"Stable and conservative,",18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,humans,1,0,0,1,2,4,humans,humans,2,1,0,Yes,Yes
188,R_1P6iZd8F9AFB8ZJ,Gain,forest_gain,Proposal B,5: Slight Preference for Proposal B,5,"Stable and conservative,",25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,North America,Yes,No,forest,1,0,1,0,1,3,forest,forest,0,2,1,Yes,Yes
189,R_1M4E0ZYJ3vcV2ex,Gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,"Stable and conservative,",18 - 24 years old,18 - 24 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,Yes,animals,0,1,1,0,0,5,animals,animals,1,0,2,Yes,Yes
